0.00000,0.00000,0.00000
1.00000,0.00000,0.00000
0.00000,1.00000,0.00000
0.00000,0.00000,1.00000
1.00000,1.00000,1.00000
0.53160,0.90933,0.65715
0.46601,0.37318,0.92877
0.50536,0.05896,0.36911
0.62746,0.21136,0.37226
0.05541,0.02582,0.50645
0.55422,0.82031,0.43122
0.92182,0.64694,0.00160
0.44509,0.05780,0.00027
0.70675,0.08546,0.99743
0.17699,0.02964,0.67494
0.62740,0.17261,0.50023
0.87155,0.16872,0.42269
0.70400,0.08363,0.81591
0.99166,0.87261,0.46351
0.23288,0.88393,0.73880
0.44746,0.61300,0.76260
0.47185,0.20152,0.05080
0.20608,0.72976,0.29172
0.28418,0.21487,0.57107
0.94192,0.92934,0.54854
0.14176,0.01995,0.81206
0.09912,0.58357,0.81767
0.51306,0.28153,0.38191
0.97578,0.23762,0.36188
0.49647,0.46495,0.93506
0.46223,0.13437,0.51466
0.69527,0.47120,0.73519
0.58266,0.62012,0.28875
0.79692,0.38635,0.07316
0.50322,0.82621,0.15875
0.30904,0.49716,0.00848
0.87894,0.41588,0.62833
0.90148,0.82886,0.20485
0.79208,0.89754,0.19322
0.72992,0.78746,0.14606
0.49845,0.03187,0.58154
0.40928,0.47736,0.96515
0.73291,0.59708,0.32986
0.25117,0.03581,0.75109
0.16724,0.61218,0.05156
0.76888,0.93447,0.68626
0.38982,0.58070,0.04090
0.99866,0.84914,0.66422
0.67417,0.67158,0.97698
0.56176,0.83208,0.61884
0.35341,0.15852,0.95529
0.38170,0.12280,0.22170
0.08533,0.66206,0.33766
0.92571,0.20023,0.91852
0.03645,0.78302,0.32815
0.82866,0.76311,0.97052
0.92253,0.75089,0.23793
0.40352,0.69610,0.82231
0.02402,0.71873,0.53003
0.71032,0.05777,0.51322
0.08765,0.77092,0.72089
0.12220,0.58454,0.96062
0.11912,0.15131,0.29316
0.14140,0.96609,0.37886
0.12408,0.54900,0.33610
0.45653,0.05692,0.54621
0.03763,0.29055,0.45962
0.11890,0.99651,0.86816
0.23716,0.79719,0.34877
0.26868,0.00699,0.97001
0.73394,0.77834,0.37985
0.64329,0.13984,0.93690
0.92543,0.05487,0.29408
0.49437,0.13178,0.91164
0.10177,0.47215,0.92382
0.57056,0.47510,0.64012
0.88157,0.09420,0.44475
0.14009,0.81597,0.60349
0.27898,0.44290,0.68931
0.29904,0.46767,0.95299
0.68225,0.03419,0.70855
0.23266,0.00638,0.10252
0.09697,0.81230,0.29043
0.18281,0.32084,0.16938
0.02898,0.75066,0.15123
0.96645,0.62567,0.69593
0.89090,0.04367,0.43728
0.66450,0.20502,0.91141
0.27128,0.16726,0.15361
0.45367,0.64125,0.45645
0.05211,0.18485,0.38618
0.82068,0.78695,0.87265
0.16114,0.82973,0.43945
0.92650,0.31263,0.15570
0.88158,0.06438,0.72691
0.06515,0.33525,0.82585
0.65952,0.86903,0.75390
0.15691,0.70122,0.83320
0.43552,0.22219,0.37454
0.23306,0.19121,0.93760
